,title,singer,id,Genre,Lyric
3737,Nắng Hạ,Anh Thư,,,
3738,Nắng Hạ,Trịnh Vĩnh Trinh,,,
3739,Nắng Quê Hương,Việt Dzũng,,,
3740,Nắng Sân Trường,Mai Tròn,,,
3741,Nắng Thu,Lâm Thúy Vân,,,
3742,Nắng Thủy Tinh,Elvis Phương,,,
3743,Nắng Thủy Tinh,Ngọc Bích,,,
3744,Nắng Trung Hoa Xinh Đẹp,Linda Trang Đài,,,
3745,Nắng Xanh,Hà Thanh Xuân,,,
3746,Nắng Xuân,Lý Hào Nam & Hà Thái Hoàng,,,
3747,Nắng Xuân Của Tôi,Hồng Hạnh,,,
3748,Nắng Xuân Ngời,Mỹ Tâm,,,
3749,Nắng Yêu Hoa Tím,Quang Lê,,,
3750,Nắng Yêu Hoa Tím,Trường Vũ,,,
3751,Nắng Ấm Quê Hương,Anh Dũng & Thu Hà,,,
3752,Nắng Ấm Xa Dần (Acoustic),Thái Tuyết Trâm,,,
3753,No Say Ben (Remix),The Men,,,
3754,No Say Ben,Leg,,,
3755,Nặng Lòng (Remix),Minh Tuyết,,,
3756,Nếu Anh Đưa Em Về,Khả Tú,,,
3757,Nếu Anh Đừng Hẹn,Duy Linh & Tâm Đoan,,,
3758,Nếu Anh Đừng Hẹn,Phi Nhung,,,
3759,Nếu Biết Ly Biệt,Mỹ Huyền,,,
3760,Nếu Biết Trước,Nini Khanh & Trần Tâm,,,
3761,Nếu Biết Trước Tình Không Vui,Lương Bích Hữu & Sỹ Luân,,,
3762,Nếu Biết Tình Yêu,Khả Tú,,,
3763,Nếu Biển Không Có Sóng,Elvis Phương,,,
3764,Nếu Chúng Mình Cách Trở,Hạ Vy & Trường Vũ,,,
3765,Nếu Còn Mai Sau,Ngọc Anh,,,
3766,Nếu Có Người Yêu Tôi,Vân Quang Long,,,
3767,Nếu Em Buồn,Hồ Quỳnh Hương,,,
3768,Nếu Em Không Hạnh Phúc,Hải Rio,,,
3769,Nếu Em Là Người Tình,Mộng Ngọc,,,
3770,Nước Mắt Hoạ Bì,Hoàng Châu,,,
3771,Nắng Ấm Xa Dần,Sơn Tùng MTP,,,
3772,Nếu Em Được Lựa Chọn,Hồ Ngọc Hà,,,
3773,Nếu Em Được Lựa Chọn,Lệ Quyên,,,
3774,Nếu Hai Đứa Mình,Hồ Quang 8,,,
3775,Nếu Hai Đứa Mình,Hồ Quang Lộc & Lý Thu Thảo,,,
3776,Nếu Không Còn Yêu Anh,Lâm Vũ,,,
3777,Nếu Không Có Anh Trong Đời,Trúc Lam & Trúc Linh,,,
3778,Nếu Không Là Tất Cả,Phạm Trưởng & Phương Thiên Hoàng,,,
3779,Nếu Không Phải Là Em (Remix),The Men,,,
3780,Nếu Không Phải Là Em Version 1,The Men,,,
3781,Nếu Không Phải Là Em Version 3,The Men & Thanh Tâm,,,
3782,Nếu Không Thể Đến Được Với Nhau,Trịnh Đình Quang,,,
3783,Nàng,Bằng Kiều,,,
3784,Nàng Kiều Lỡ Bước (Remix),Lý Hào Nam,,,
3785,Nếu Lỡ Chúng Mình,Trường Vũ,,,
3786,Nếu Mai Em Qua Đời,Ngọc Anh,,,
3787,Nếu Mai Này Ra Xa Nhau,Nini Khanh,,,
3788,Nếu Mai Đây,Lâm Nhật Tiến,,,
3789,Nếu Một Lần,Lê Hằng,,,
3790,Nếu Một Ngày,Elvis Phương & Thanh Lan,,,
3791,Nếu Một Ngày,Đan Nguyên,,,
3792,Nếu Như,Hà Anh Tuấn,,,
3793,Nếu Như Em Đến (Remix),Văn Mai Hương,,,
3794,Nếu Phải Xa Nhau (Remix),Minh Quân,,,
3795,Nếu Phải Yêu Anh,Mộng Thi,,,
3796,Nếu Ta Đừng Quen Nhau,Hồng Trúc,,,
3797,Nếu Vắng Anh,Christiane Lê & Lê Trí,,,
3798,"Nếu Xuân Này Em Đi Lấy Chồng, Ngày Xuân Thăm Nhau",Tường Khuê & Y Phụng,,,
3799,Nếu Xuân Này Vắng Anh,Hương Lan,,,
3800,Nếu Điều Đó Xảy Ra,Johnny Dũng & Minh Tuyết,,,
3801,Nếu Được Làm Người Tình,Hoàng Châu,,,
3802,Nếu Được Làm Người Tình,Ân Thiên Vỹ,,,
3803,Nếu Được Trở Về,Thục Nhi,,,
3804,Nếu Đời Không Có Chữ Nếu,Vĩnh Thiên Kim,,,
3805,Nếu Đời Khồng Có Anh,Hồ Quang 8,,,
3806,Nếu Đời Khồng Có Anh,Đàm Vĩnh Hưng,,,
3807,Nếu Đừng Dang Dở,Lê Toàn & Ngọc Đài,,,
3808,Nối Lại Tình Xưa,Hương Lan & Quang Bình,,,
3809,Nối Lại Tình Xưa,Hồ Quang Lộc & Trung Hậu,,,
3810,Nối Lại Tình Xưa,Khang Lê,,,
3811,Nối Nhớ (Memories),Ưng Đại Vệ,,,
3812,Nối Nhớ Nhưng Bên Lòng,Châu Khánh Hà,,,
3813,Nối Sợ Mang Tên,Hoàng Anh Tùng,,,
3814,Nốt Lạc,Mộng Trang,,,
3815,Nồng Nàn Tình Thanh,Anh Thơ & Trong Tấn,,,
3816,Nổi Trống Lên Bạn Ơi,Tốp Ca Thiếu Nhi,,,
3817,Nỗi Buồn Còn Lại,Quốc Khanh,,,
3818,Nỗi Buồn Còn Lại,Trọng Bắc,,,
3819,Nỗi Buồn Hoa Phượng,Phi Nhung,,,
3820,Nỗi Buồn Không Nguôi,Hương Lan,,,
3821,Nỗi Buồn Ngày Vu Quy,Thảo Sương,,,
3822,Nỗi Buồn Sa Mạc,Trường Vũ,,,
3823,Nỗi Buồn Sa Mạc,Tuấn Vũ,,,
3824,Nếu Là Anh (Remix),The Men,,,
3825,Nếu Mình Thương Nhau,Hoàng Lan,,,
3826,Nối Vòng Tay Lớn (Remix Ver 2),Hồ Quang Hiếu & Thúy Khanh,,,
3827,Nỗi Buồn Chưa Trọn,Trường Vũ,,,
3828,Nỗi Lòng Của Mẹ,Gia Ly,,,
3829,Nỗi Lòng Em Gái Massage,Huỳnh Nhật Huy,,,
3830,Nỗi Lòng Lữ Khách,Lý Hải,,,
3831,Nỗi Lòng Người Ca Sĩ,Băng Nhi,,,
3832,Nỗi Lòng Người Đi,Kenny Thái,,,
3833,Nỗi Lòng Thiếu Phụ,Tiểu Phụng,,,
3834,Nỗi Nhớ Anh Mùa Đông,Hồ Quỳnh Hương,,,
3835,Nỗi Nhớ Cho Em,Đỗ Nguyên Phúc,,,
3836,Nỗi Nhớ Chơi Vơi,Tpb,,,
3837,Nỗi Nhớ Khôn Nguôi,Quỳnh Lan,,,
3838,Nỗi Nhớ Thiên Thu,Đoàn Phi & Mai Thanh Sơn,,,
3839,Nỗi Nhớ Vẹn Nguyên,Lam Trang,,,
3840,Nỗi Nhớ Êm Dịu,Johnny Dũng,,,
3841,Nỗi Nhớ Đóng Băng,Kio Band & Xuân Mai,,,
3842,Nỗi Niềm,Hương Lan,,,
3843,Niềm Cô Đơn Cuối Cùng,Vũ Tuấn Đức,,,
3844,Niềm Nhớ Thương,Thái Hiền,,,
3845,Niềm Thương Nhớ,Hoàng Nam,,,
3846,Niềm Thương Nhớ,Ngọc Du,,,
3847,Niềm Tin (We Can Do It),Mỹ Tâm,,,
3848,Nỗi Niềm Xa Xứ,Khưu Huy Vũ & Thy Nhung,,,
3849,Nỗi Vô Tình Ngọt Ngào,Diễm Liên,,,
3850,Nỗi Yêu Bất Tận,Khánh Hà,,,
3851,Nỗi Đau Bất Tận,Hồng Dương M4U,,,
3852,Nỗi Đau Của Ký Ức,Lưu Quang Anh,,,
3853,Nỗi Đau Dịu Dáng,Ngọc Huệ,,,
3854,Nỗi Đau Là Bờ,Kim Quang Hải,,,
3855,Nỗi Đau Ngày Qua,Cẩm Ly,,,
3856,Nỗi Đau Người Để Lại,Dương Bửu Trung,,,
3857,Nỗi Đau Đầu Đời,Lâm Bảo Nam,,,
3858,Nỡ Quên Sao Em,Giang Trường & Quách Sỹ Phú,,,
3859,Nợ (Acoustic),Phương Trinh Jolie,,,
3860,Nụ Cười Biệt Ly,Lưu Chí Vỹ & Phan Anh Quân,,,
3861,Nụ Cười Pro Sports,Luong Huy & Thu Hà,,,
3862,Nụ Cười Đắng,The Men,,,
3863,Nụ Hôn Buồn,Johnny Dũng,,,
3864,Nụ Hôn Bên Anh,Ngọc Hương,,,
3865,Nụ Hôn Dưới Mưa,Ý Lan,,,
3866,Nụ Hôn Giã Từ,Hoàng Nam,,,
3867,Nụ Hôn Lừa Dối,Ngọc Thúy,,,
3868,Nụ Hôn Trong Mưa,Hoàng Châu,,,
3869,Nụ Hôn Đêm Cuối,Trần Hùng Tuấn,,,
3870,Nỗi Lòng,Phi Yến Linh,,,
3871,Nỗi Niềm Chưa Trọn,Mạnh Quỳnh,,,
3872,Nụ Tình Hồng,Lê Tâm,,,
3873,Nụ Tình Phai,Mai Linh,,,
3874,Nụ Tình Phai,Tú Quyên,,,
3875,Nửa Kia Đời Tôi,Trương Đình Phong,,,
3876,Nửa Trái Tim,Cẩm Ly & Minh Tuyết,,,
3877,Nửa Trái Tim Tội Nghiệp,Dương Thiên Lâm,,,
3878,Nửa Vòng Trái Đất,Trường Vũ,,,
3879,Nửa Đêm Khấn Hứa,Băng Tâm,,,
3880,Nửa Đêm Khấn Hứa,Mỹ Linh,,,
3881,Nửa Đêm Ngoài Phố,Ngô Quốc Linh,,,
3882,Nửa Đời Lầm Tin,Mai Nguyễn,,,
3883,Nửa Đời Phóng Đãng,Huy Vũ,,,
3884,Nửa Đời Yêu Em,Huy Vũ,,,
3885,Nang Sai Gon Nang Paris,Sisi Thanh Lý,,,
3886,Nữa Vầng Trăng,Như Quỳnh,,,
3887,Nự Cười Việt Nam,Đông Nhi,,,
3888,Oanh (Chuyen Tinh Cua Toi),Ưng Hoàng Phúc,,,
3889,Ohh La La,Đinh Hương,,,
3890,Ok Em Về Đi,Thiên Trường & Địa Hải,,,
3891,Ok Như Vậy Đi Em,Lâm Chấn Khang,,,
3892,Phai Màu,Vũ Cát Tường,,,
3893,Phai Nhoà Cảm Xúc,Bình Minh Vũ,,,
3894,Phiên Khúc Buồn,Elvis Phương,,,
3895,Phiêu Lưu Tình Ái,Lây Minh,,,
3896,Phiến Đá Sầu,Lâm Thúy Vân,,,
3897,Pháo Hồng Ngày Cưới,Ngọc Hồ,,,
3898,Pháo Hồng Tiễn Biệt,Khánh Duy,,,
3899,Phát Tài,Tuấn Đạt,,,
3900,Phép Lạ,Duy Khánh,,,
3901,Phép Màu,Tăng Nhật Tuệ,,,
3902,Phê,Duy Mạnh,,,
3903,Phía Cuối Mê Cung,Ưng Hoàng Phúc,,,
3904,Phía Cuối Nỗi Buồn,Hoàng Minh Chí & Diệu Mi,,,
3905,Phía Sau Nụ Cười,Hồng Ngọc,,,
3906,Phía Sau Ánh Mắt Buồn,Nguyễn Kiên Cường,,,
3907,Phím Dương Cầm,Sỹ Nguyên,,,
3908,Phó Thác Cho Mẹ Yêu,Hạnh Nguyễn,,,
3909,Phôi Phai,Bằng Kiều,,,
3910,Phù Du,Ngọc Lan,,,
3911,Nụ Hồng Mong Manh,Châu Ngọc Tiên,,,
3912,Nửa Bước Đường Tình,Thái Hiền,,,
3913,Nửa Đêm Khấn Hứa,Hương Lan,,,
3914,Nữa Mảnh Tình Trăng,Diệu Hương,,,
3915,Oh My Love,365 Band,,,
3916,On Me,Trần Nhật Quang,,,
3917,One Day,Wanbi Tuấn Anh,,,
3918,Over And Over,Thái Thảo,,,
3919,Phút Bình Yên,Trà My Idol,,,
3920,Phút Chia Ly,Võ Hoàng,,,
3921,Phút Cuối,Giao Linh & Tuấn Vũ,,,
3922,Phút Cuối,Thanh Ngọc Tiễn,,,
3923,Phút Giao Mùa,Ngọc Minh & Trung Chinh,,,
3924,Phút Giao Thừa Lặng Lẽ,Bùi Anh Tuấn & Tiêu Châu Như Quỳnh,,,
3925,Phút Giây Bên Nhau,Minh Trang & Lyly,,,
3926,Phút Giây Đợi Chờ,Hàn Thái Tú,,,
3927,Phút Sau Cuối,Quỳnh Vi,,,
3928,Phút Đầu Tiên,Tuấn Vũ,,,
3929,Phũ Phàng,Châu Gia Kiệt,,,
3930,Phơi Áo Tàn Đông,Thanh Lan,,,
3931,Phương Xa,Linda Chou,,,
3932,Phượng Buồn,Kiều Nga & Tuấn Vũ,,,
3933,Phượng Buồn,Mai Phuong Thao Hồ Quang Lộc,,,
3934,Phượng Buồn,Thái Châu & Khánh Lan,,,
3935,Phi Trường Phút Ly Biệt,Lâm Hùng,,,
3936,Phượng Yêu,Kiều Nga,,,
3937,Phượng Yêu,Thanh Thúy,,,
3938,Phải,Huy Vũ,,,
3939,Phải Chi Em Đừng Có Chồng,Elvis Phương & Ý Lan,,,
3940,Phải Chi Em Đừng Có Chồng 2,Elvis Phương & Ý Lan,,,
3941,Phải Chăng Là Em,Nguyễn Đình Vũ,,,
3942,Phải Chăng Mình Chẳng Đúng Ngày,Đỗ Phú Quí,,,
3943,Phản Bội Em Là Lỗi Của Anh,Trương Y Du,,,
3944,Phận Bạc,Hoàng Tâm & Khả Tú,,,
3945,Phận Gái Thuyền Quyên,Tuấn Vũ,,,
3946,Phận Làm Dâu,Minh Tuyết,,,
3947,Phận Má Hồng (Remix),Kiwi Ngô Mai Trang,,,
3948,Phương Trời Xứ Lạ,Duy Khánh,,,
3949,Phải Chi Ta Hiểu Nhau,Lâm Temboys,,,
3950,Phận Má Hồng,Trung Hậu,,,
3951,Phận Xa Cha Mẹ,Lâm Triệu Minh,,,
3952,Phận Đời Con Gái,Mai Nguyễn,,,
3953,Phận Đời Nghệ Sĩ,Nhiều Ca Sỹ,,,
3954,Phố Biển,Thanh Lan,,,
3955,Phố Buồn,Lưu Hồng,,,
3956,Phố Chiều Đông,Phương Thanh,,,
3957,Phố Cũ,Jimmi Jc Nguyễn,,,
3958,Phố Cũ Vắng Anh,Phương Loan,,,
3959,Phố Cũ Về Đêm,Mộng Thi,,,
3960,Phố Nhỏ Tình Người,Khánh Hoàng,,,
3961,Phố Thị,Hải Mi,,,
3962,Phố Vắng,Trường Vũ,,,
3963,Phố Vắng Em,Tuấn Vũ,,,
3964,Phố Xa,Mộng Thi,,,
3965,Pinocchio Acoustic,Zero 9,,,
3966,Power Of Love,Thanh Hà,,,
3967,Qua Ngõ Nhà Em,Hà Thanh Xuân,,,
3968,Qua Xóm Nhỏ,Tuấn Vũ,,,
3969,Quan Âm Cứu Đời,Châu Khánh Hà & Hoàng Huy,,,
3970,Quan Âm Ngàn Mắt Ngàn Tay,Dương Bửu Trung,,,
3971,Quay Lại Ngày Chưa Yêu,Nhật Minh Hằng,,,
3972,Quay Về,Hoài Anh Kiệt,,,
3973,Que A Du,Han Sara,,,
3974,Que Sera Sera,Thanh Lan,,,
3975,Quen Nhau Trên Đường Về,Quốc Dũng & Tâm Đoan,,,
3976,Quà Xuân Của Lính Đảo,Diệu Hiền & Huỳnh Lợi,,,
3977,Quá Khứ,Hồng Ngọc,,,
3978,Please Say Goodbye,Alina Thảo Lê & Tonny Việt,,,
3979,Qua Lối Nhỏ,Mạnh Quỳnh,,,
3980,Quay Ve Lam Chi,Akira Phan,,,
3981,Quá Khứ Vẫn Là Quá Khứ,Minh Hằng,,,
3982,Quán Cafe Vắng,Quốc Hùng & Thiên Kim,,,
3983,Quán Gấm Đầu Làng,Chế Thanh & Hà Phương,,,
3984,Quán Gấm Đầu Làng,Trúc Quyên,,,
3985,Quán Khuya,Anh Tú,,,
3986,Quán Nửa Khuya,Giao Linh,,,
3987,Quán Thái,Văn Sơn,,,
3988,Quán Vắng Biên Thuỳ,Hồng Trúc,,,
3989,Quán Vắng Biên Thuỳ,Trường Vũ,,,
3990,Quán Vắng Một Mình (Remix),Minh Tuyết,,,
3991,Quán Vắng Một Mình,Andy Thanh,,,
3992,Quán Vắng Một Mình,Đan Huy,,,
3993,Quán Vắng Xa Rồi,Tứ Ca Ngẫu Nhiên,,,
3994,Quân Vương Và Thiếp,Kim Tử Long & Tài Linh,,,
3995,Quê Hương,Hoài Nam & Hương Lan,,,
3996,Quê Hương,Trọng Tấn,,,
3997,Quê Hương Ba Miền,Hằng Ni Kim Cương & Ngọc Trinh,,,
3998,Quê Hương Mình,Tuấn Vũ,,,
3999,Quê Hương Mời Gọi,Giao Linh,,,
4000,Quê Ngoại,Hương Lan,,,
4001,Quê Ta,Phong Lê & Nds,,,
4002,Quê Tôi,Minh Tuyết,,,
4003,Quê Tôi Thanh Hóa,Quang Cối,,,
4004,Quên,Noo Phước Thịnh,,,
4005,Quên Cách Yêu (Remix),Lương Bích Hữu,,,
4006,Quên Cả Lối Về,Lâm Nhật Tiến,,,
4007,Quên Em,Binz Minh Phuc PK & Its Lee,,,
4008,Quên Mau Tình Đầu,Mbk,,,
4009,Quên Một Lời Thề,Nguyễn Thắng,,,
4010,Quy Nhơn Đôi Mắt Người Xưa,Quốc Khanh,,,
4011,Quên Nhau Đi,Lâm Vũ,,,
4012,Quên Đi,Loan Châu & Shayla,,,
4013,Quên Đi Cuộc Tình,Thanh Thảo & Trần Tâm,,,
4014,Quên Đi Giấc Mơ,Blue Duy Linh,,,
4015,Những Người Con Của Núi,Tốp Ca,,,
4016,Quên Đi Ngày Yêu Dấu,Mỹ Tâm,,,
4017,Quên Đi Tình Xưa,Nhật Quân,,,
4018,Quên Đi Tình Yêu Cũ,Quang Dũng,,,
4019,Quên Đi Âu Lo,365 Band,,,
4020,Quên Được Thì Quên,Lâm Chấn Khang,,,
4021,Quả Tim Khô Máu,Tiến Dũng,,,
4022,Quảng Nam Quê Hương Tôi,Tiến Dũng,,,
4023,Quẩy Hết Ga Tiệc Vui Mới Đã,Bảo Kun & Hoàng Tôn,,,
4024,Quốc Ca (Remix),Lương Gia Huy,,,
4025,Quỳ Lạy Quan Âm,Châu Khánh Hà,,,
4026,Quỳnh Hương,Duy Quang,,,
4027,Quỳnh Hương,Kiều Nga,,,
4028,Ra Giêng Anh Cưới Em,Khang Lê & Trịnh Ngọc Huyền,,,
4029,Ra Khơi (Rock Ly Keo Chai),bé Quỳnh Chi,,,
4030,Ra Đi,Hồng Ngọc,,,
4031,Rau Đắng Mọc Sau Hè,Tuấn Vũ,,,
4032,Romance,Minh Nhi,,,
4033,Romeo Không Chết,Lâm Chấn Huy,,,
4034,Rong Rêu,Chung Tử Lưu,,,
4035,Ru Con Nam Bộ,Mỹ Huyền,,,
4036,Ru Con Thuyền Mộng,Hương Lan & Quang Bình,,,
4037,Ru Con Thuyền Mộng,Tuấn Vũ,,,
4038,Ru Con Tình Cũ,Mai Ngọc Khánh,,,
4039,Ru Em Bằng Tiếng Sóng,Thanh Thúy,,,
4040,Ru Em Vào Mộng,Hương Lan,,,
4041,Ru Em Vào Mộng,Thế Vũ,,,
4042,Ru Em Đêm Đông,Hoàng Hải Đăng,,,
4043,Ru Mãi Ngàn Năm,Quang Dũng,,,
4044,Rung Động,Nguyễn Thắng,,,
4045,Rêu Phong,Hồng Ngọc & Mtv Band,,,
4046,Rôi Mai Ta Bên Nhau,Mai Tiến Dũng & Tóc Tiên,,,
4047,Ru Tình Trong Xót Xa,Johnny Dũng,,,
4048,Quăng Tao Cái Boong (Bolero),Minh Bolero,,,
4049,Riêng Tôi Nhớ Người,Ý Lan,,,
4050,Rong Rêu,Nam Du,,,
4051,Rước Dâu Trên Đường Quê,Quang Bình & Trang Thanh Lan,,,
4052,Rước Tình Về Với Quê Hương,Ngọc Huyền & Sơn Ca,,,
4053,Rước Đèn Tháng Tám,Đức Quỳnh,,,
4054,Rạn Nứt,Chế Phương,,,
4055,Rạng Đông Trên Quê Hương Việt Nam,Phương Lam & Sơn Ca,,,
4056,Rất Huế,Bảo Yến & Quang Linh,,,
4057,Remix Sư Thật Sau Một Lời Hứa,Chi Dân,,,
4058,Revoir (Van Mai Yeu Em),Don Hồ,,,
4059,Rồi 20 Năm Sau,Phi Nhung,,,
4060,Rồi 20 Năm Sau,Trúc Quyên,,,
4061,Rồi Anh Sẽ Quên,Mỹ Tâm,,,
4062,Rồi Có Một Ngày,Đức Phương,,,
4063,Rồi Cùng Anh Ra Đi,Diễm Liên,,,
4064,Rồi Cũng Ra Đi,Diễm Liên,,,
4065,Rồi Em Cũng Bỏ Tôi Đi,Thái Châu,,,
4066,Rồi Hai Mươi Năm Sau,Quang Lập,,,
4067,Rồi Mai Em Đi,Hạ Vy,,,
4068,Rồi Mai Giã Từ,Nguyễn Hồng Nhung,,,
4069,Rồi Mai Kia Hòa Bình,Duy Khánh,,,
4070,Rồi Mình Cũng Xa Lạ,Hoài Vũ,,,
4071,Rồi Nắng Có Nhớ,Trọng Bắc,,,
4072,Rồi Trong Vòng Tay Anh,Nini,,,
4073,Rồi Ánh Trăng Tàn,Lưu Bích,,,
4074,Rời Xa Giấc Mơ,Như Ngọc,,,
4075,Rời Xa Người Yêu,Quang Dũng,,,
4076,Rừng Chưa Thay Lá,Elvis Phương,,,
4077,Rừng Chưa Thay Lá,Hương Lan,,,
4078,Rừng Lá Thay Chưa,Trường Vũ,,,
4079,Rừng Ái Ân,Hồng Trúc,,,
4080,Sai Một Li Đi Một Dặm,Lương Minh Trang,,,
4081,Rằng Thì Là,Chung Tử Lưu,,,
4082,Rồi Mai Rời Xa,Hoàng Thái Nghĩa,,,
4083,Samba Mambo,Thanh Lan,,,
4084,Sang Ngang,Hồ Hoàng Yến & Lâm Nhật Tiến,,,
4085,Sao Anh Nỡ Đành Quên,Thanh Tuyền & Tuấn Vũ,,,
4086,Sao Băng Khóc (Edm),Tam Hổ,,,
4087,Sao Cha Im Lặng,Elvis Phương,,,
4088,Sao Chẳng Thể Vì Em,Pm Band,,,
4089,Sao Em Không Nói,Trường Vũ,,,
4090,Sao Em Lỡ Hẹn,Tuấn Vũ,,,
4091,Sai,Lưu Quang Anh,,,
4092,Sai,Mỹ Tâm,,,
4093,Sai Càng Sai,Avatar Boys & Miu Lê,,,
4094,Sai Lầm Khi Yêu Em,Lâm Chấn Khang,,,
4095,Sao Em Nỡ Vội Lấy Chồng,Châu Tuấn & Yến Khoa,,,
4096,Sao Em Nỡ Vội Lấy Chồng,Hoài Nam & Thanh Tuyền,,,
4097,Sao Em Vô Tình,Mai Hậu & Tuấn Cảnh,,,
4098,Sao Em Vô Tình,Mạnh Quỳnh,,,
4099,Sao Không Thấy Hồi Âm,Ngọc Đan Thanh,,,
4100,Sao Lòng Còn Thương,Mạnh Quỳnh,,,
4101,Sao Nỡ Đành Phụ Nhau,Trường Vũ,,,
4102,Sao Nỡ Đành Quên,Johnny Dũng,,,
4103,Sao Tình Yêu,Hải Thiên,,,
4104,Sao Tình Yêu,Hồ Quỳnh Hương,,,
4105,Sao Đành Lòng Quên Em,Châu Ngọc Linh,,,
4106,Sau Một Bờ Vai,Thu Minh,,,
4107,Sao Em Mãi Khóc,Vĩ MJ,,,
4108,Sao Không Thấy Anh Về,Hồ Quang 8,,,
4109,Sao Vẫn Còn Yêu,Lương Tùng Quang,,,
4110,Sau Một Lần Yêu,Hoàng Kỳ Anh,,,
4111,Sau Đêm Dông,Khả Tú,,,
4112,Sau Đơn Côi,Tú Quyên,,,
4113,Say & Lầm,Dương Triệu Vũ & Trịnh Lâm,,,
4114,Say,Hoàng Sơn,,,
4115,Say,Hồng Vân & Thành Lôc,,,
4116,Say,Lê Minh,,,
4117,Say,Đan Nguyên & Quốc Khanh,,,
4118,Say Mê Cung Đàn,Lây Minh,,,
4119,Say Tình,Đoàn Phi,,,
4120,Say You Will,Anh Sơn,,,
4121,Say Đi,Hồ Lệ Thu,,,
4122,Sayonara! Tạm Biệt Anh Yêu,Như Quỳnh,,,
4123,Sinh Viên Nghèo,Quang Anh,,,
4124,Sonia,Thanh Lan,,,
4125,Sorry Một Lần Thôi,SwainZ & Kim Joon Shin,,,
4126,Superheroes,Minh Trí & Việt Thy,,,
4127,Suối Mường Hum Còn Chảy Mãi,Anh Thơ,,,
4128,Suối Nước Mắt,Ngọc Lan,,,
4129,Suối Tóc,Thái Hiền,,,
4130,Suối Vắng,Thanh Hà,,,
4131,Suốt Kiếp Chỉ Yêu Mình Em,Đạt Nguyễn & Hồ Quang Hiếu,,,
4132,Sài Gòn,Băng Châu & Phương Hồng Quế,,,
4133,Sài Gòn,Ninh Cát Loan Châu,,,
4134,Sài Gòn Bass,Addy Trần & Hằng Bingboong,,,
4135,Sài Gòn Giáng Sinh,Thái Lan Viên,,,
4136,Sài Gòn Kỷ Niệm,Đan Nguyên,,,
4137,Sài Gòn Niềm Thương Nỗi Nhớ,Trịnh Lam,,,
4138,Sinh Nhật Buồn,Đàm Vĩnh Hưng,,,
4139,Sài Gòn Vĩnh Biệt,"Khánh Ly, Nam Lộc",,,
4140,Sài Gòn Vẫn Mãi Trong Tôi,Mai Thanh Sơn,,,
4141,Sài Gòn Về Miền Dĩ Vãng,Lâm Nhật Tiến,,,
4142,Sài Gòn Ơi ! Mãi Nhớ,Quang Dũng,,,
4143,Sài Gòn Ơi Vĩnh Biệt,Hồ Hoàng Yến,,,
4144,Sài Gòn Ơi Vĩnh Biệt,Kiều Nga,,,
4145,Sám Hối,Tuấn Ngọc,,,
4146,Sám Hối,Vũ Khanh,,,
4147,Say I Love You,Nhật Minh Hằng,,,
4148,Sinh Nhật Của Tôi,Lâm Hùng,,,
4149,So Co La,Đoan Trang,,,
4150,Sáu Tháng Quân Trường,Duy Khánh,,,
4151,Sân Ga Đợi Em,Nhật Lâm,,,
4152,Sân Khấu Buồn,Thùy Dương,,,
4153,Sâu Trong Màn Đêm,Hoàng Thái Nghĩa,,,
4154,Sóc Sơn Tình Đất Tình Người,Trọng Tấn & Anh Thơ,,,
4155,Sóng Hát,Dương Hoàng Yến,,,
4156,Soi Bước Em,Thanh Hà,,,
4157,Soledad (Xin Mai Yeu Nguoi),Johnny Dũng,,,
4158,Sóng Về Đâu,Thanh Lam,,,
4159,Sông La Gọi Sông Đà,Doãn Tú & Hằng Nga,,,
4160,Sông La Ngày Về,Thúy Diễm,,,
4161,Sông Quê 1,Hoài Nam,,,
4162,Sông Quê 2,Mạnh Quỳnh & Tâm Đoan,,,
4163,Sơn La Thành Phố Tuổi Trẻ,Tốp Ca,,,
4164,Sơn Nữ Ca,Trần Hoàn,,,
4165,Sơn Nữ Ca,Tuấn Vũ,,,
4166,Sương Chiều Tú Anh,Kim Chi,,,
4167,Sương Lạnh Chiều Đông,Phi Nhung,,,
4168,Sương Phủ Đường Khuya,Hồng Trúc,,,
4169,Sầm Sơn In Dấu Chân Bác Hồ,Anh Thơ,,,
4170,Sầu Lẻ Bóng 2,Y Phụng,,,
4171,Sầu Riêng,Nguyễn Sơn & Hương Lan,,,
4172,Sầu Thiên Thu,Lê Quang,,,
4173,Sầu Tím Thiệp Hồng,Anh Thơ & Hồ Quang 8,,,
4174,Sầu Tím Thiệp Hồng,Chương Tiểu My & Huỳnh Nhật Huy,,,
4175,Sầu Vương Khói Mây,Khánh Hà,,,
4176,Suy Nghĩ Lại Đi Anh,Kha Ly,,,
4177,Sầu Đông,Công Thành & Lynn,,,
4178,Sắc Hoa Màu Nhớ,Phi Nhung,,,
4179,Sắc Hoa Màu Nhớ,Tâm Đoan,,,
4180,Sắc Hoa Mùa Nhớ,Như Quỳnh,,,
4181,Sắc Xuân,Trip Hậu,,,
4182,Sắp Đến Tết Rồi,Xuân Mai,,,
4183,Sẽ Có Ngày,Elvis Phương,,,
4184,Sẽ Hơn Bao Giờ Hết,Lâm Nhật Tiến,,,
4185,Sáng Nay Mưa,Jang Mi,,,
4186,Sương Chiều,Tú Anh,,,
4187,Sẽ Không Còn Là Em,Amy Le & Annie,,,
4188,Sẽ Không Còn Đâu Em,Quang Dũng,,,
